Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
KID,0.0,0.0,0.08,0.0,0.08
Seventh Chord,0.0,0.0,0.08,0.0,0.08
Yuke's,0.01,0.01,0.05,0.0,0.08
MC2 Entertainment,0.03,0.03,0.0,0.0,0.08
Mitsui,0.06,0.02,0.0,0.0,0.08
Elite,0.04,0.03,0.0,0.0,0.07
Coconuts Japan,0.01,0.01,0.05,0.0,0.07
Misawa,0.0,0.0,0.07,0.0,0.07
Licensed 4U,0.0,0.06,0.0,0.0,0.07
Altron,0.05,0.02,0.0,0.0,0.07
Aria,0.0,0.0,0.07,0.0,0.07
Locus,0.0,0.0,0.07,0.0,0.07
Evolution Games,0.0,0.0,0.06,0.0,0.07
Warp,0.0,0.0,0.07,0.0,0.07
Princess Soft,0.0,0.0,0.07,0.0,0.07
Encore,0.04,0.030000000000000002,0.0,0.0,0.07
Revolution Software,0.0,0.06999999999999999,0.0,0.01,0.06999999999999999
Sonnet,0.0,0.0,0.06,0.0,0.06
HAL Laboratory,0.06,0.0,0.0,0.0,0.06
Imax,0.0,0.0,0.06,0.0,0.06
Fortyfive,0.0,0.0,0.06,0.0,0.06
Grand Prix Games,0.0,0.0,0.06,0.0,0.06
Experience Inc.,0.0,0.0,0.06,0.0,0.06
Ecole,0.0,0.0,0.06,0.0,0.06
DigiCube,0.0,0.0,0.06,0.0,0.06
iWin,0.0,0.05,0.0,0.01,0.06
Office Create,0.0,0.0,0.06,0.0,0.06
Virtual Play Games,0.06,0.0,0.0,0.0,0.06
Zenrin,0.0,0.0,0.06,0.0,0.06
Yumedia,0.0,0.0,0.06,0.0,0.06
Dusenberry Martin Racing,0.05,0.0,0.0,0.01,0.05
GN Software,0.0,0.0,0.05,0.0,0.05
Monte Christo Multimedia,0.0,0.04,0.0,0.01,0.05
System Soft,0.0,0.0,0.05,0.0,0.05
Phantagram,0.03,0.01,0.01,0.0,0.05
Navarre Corp,0.04,0.0,0.0,0.0,0.05
Team17 Software,0.0,0.04,0.0,0.01,0.05
TechnoSoft,0.03,0.02,0.0,0.0,0.05
Alawar Entertainment,0.0,0.04,0.0,0.01,0.05
The Learning Company,0.03,0.02,0.0,0.0,0.05
Easy Interactive,0.0,0.03,0.0,0.0,0.05
Focus Multimedia,0.0,0.05,0.0,0.0,0.05
Big Fish Games,0.0,0.04,0.0,0.0,0.05
WayForward Technologies,0.05,0.0,0.0,0.01,0.05
